epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,394.466,2.11288,1.78012,1.04425,0.54545,0.53846,0.48569,0.163,2.55202,2.05018,0.93507,0.0002921,0.0002921,0.0002921
128,397.812,2.03425,1.65938,0.99451,0.55031,0.53846,0.47314,0.16543,2.56088,2.07858,0.9367,0.00029045,0.00029045,0.00029045
129,400.526,2.1413,1.72792,1.02617,0.57308,0.56818,0.47317,0.16341,2.5571,2.06234,0.93494,0.0002888,0.0002888,0.0002888
130,403.422,2.05896,1.74718,0.97761,0.54351,0.57692,0.48305,0.1642,2.55273,2.00361,0.93414,0.00028715,0.00028715,0.00028715
131,405.984,2.14549,1.75016,1.03687,0.53996,0.57692,0.49568,0.18231,2.54051,1.97024,0.93506,0.0002855,0.0002855,0.0002855
132,408.595,2.09833,1.72436,0.9577,0.53635,0.57692,0.50183,0.18421,2.56781,1.9362,0.9396,0.00028385,0.00028385,0.00028385
133,411.166,2.01807,1.6744,1.01262,0.54148,0.59077,0.50038,0.1797,2.58111,1.96625,0.93968,0.0002822,0.0002822,0.0002822
134,413.907,2.05507,1.64994,0.99337,0.52893,0.56175,0.45769,0.17893,2.59258,1.98515,0.95112,0.00028055,0.00028055,0.00028055
135,416.438,2.05545,1.77169,0.98085,0.50709,0.55427,0.45583,0.17425,2.59271,2.02124,0.95087,0.0002789,0.0002789,0.0002789
136,418.96,2.05551,1.72359,1.00629,0.52931,0.57692,0.46695,0.17177,2.65534,2.01975,0.96367,0.00027725,0.00027725,0.00027725
137,421.565,1.97743,1.56414,1.00471,0.54063,0.57692,0.47282,0.17313,2.67151,2.04277,0.96567,0.0002756,0.0002756,0.0002756
138,424.578,2.12272,1.62307,1.01168,0.50046,0.53846,0.44735,0.17781,2.6603,1.98299,0.96312,0.00027395,0.00027395,0.00027395
139,427.142,2.10188,1.69599,1.01702,0.50982,0.57692,0.48209,0.17873,2.63528,1.94387,0.95999,0.0002723,0.0002723,0.0002723
140,429.74,2.19656,1.91536,0.9843,0.55436,0.61538,0.52553,0.19514,2.5911,1.89417,0.95273,0.00027065,0.00027065,0.00027065
141,432.571,2.10104,1.71221,1.01784,0.57738,0.61538,0.52554,0.19176,2.58535,1.8731,0.94616,0.000269,0.000269,0.000269
142,435.295,2.01718,1.6329,1.01535,0.54539,0.61538,0.52828,0.19086,2.54801,1.85535,0.9417,0.00026735,0.00026735,0.00026735
143,438.231,2.18314,1.77157,1.03407,0.5472,0.60453,0.52379,0.18243,2.547,1.84519,0.94168,0.0002657,0.0002657,0.0002657
